name,affiliation,country
Rakesh Sharma,IBM,US
Rakshit Ratan,AMITY UNIVERSITY,IN
Ralf Weber,AKAMAI TECHNOLOGIES,DE
Ralf Wolter,CISCO SYSTEMS INC,DE
Ralph Dolmans,NLNET LABS,NL
Ralph Droms,GOOGLE,US
Ralph Giles,MOZILLA FOUNDATION,CA
Ralph Liguori,U.S. DEPARTMENT OF DEFENSE,US
Ralph Schmieder,CISCO SYSTEMS INC,DE
Ralph Spickermann,LOCKHEED MARTIN CORPORATION,US
Ram Dantu,UNIVERSITY OF NORTH TEXAS,US
Ram Mohan,CISCO SYSTEMS INC,IN
Ram Ranganathan,"COMMSCOPE HOLDING COMPANY, INC.",CA
Ram Santhanakrishnan,JUNIPER NETWORKS,IN
Ramakant Pandrangi,"VERISIGN INTERNATIONAL HOLDINGS, INC.",US
Ramakrishna Bandaris,VIEWGATE TECHNOLOGIES PRIVATE LIMITED,IN
Ramanjaneya Palleti,HUAWEI TECHNOLOGIES,IN
Ramanuja Vedantham,TEXAS INSTRUMENTS INC,US
Ramasamy Ramanathan,JUNIPER NETWORKS,US
Ramesh Pokhrel,NATIONAL INFORMATION TECHNOLOGY CENTER,NP
Ramesh Rajarapu,SONY CORPORATION,IN
Ramesh Sivakolundu,CISCO SYSTEMS INC,US
Ramesh Srimanthula,JAMIE PLASTIC INDUSTRIES,IN
Ramesh Subrahmaniam,INFINERA CORP,US
Rami Yaron,TELCO SYSTEMS,US
Ramin Sadre,UNIVERSITE CATHOLIQUE DE LOUVAIN,BE
Ramiro Sarmiento,APPLE INC.,US
Ramon Gonzalez,NETWORK INFORMATION CENTER MEXICO,MX
Ramon Mujica,ACADEMIA DE LA MAGISTRATURA,PE
Ran Tao,HUA WEI,CN
Rana Pratap Sircar,ERICSSON AB,IN
Randal Stew,NETFLIX INC,US
Randell Jesup,MOZILLA FOUNDATION,US
Randell Jwaup,MOZILLA FOUNDATION,US
Randy Schatz,ACS,US
Ranga Krishnan,QUALCOMM INC,US
Rangan Doreswamy,"VERISIGN INTERNATIONAL HOLDINGS, INC.",US
Ranganai Chaparadza,FRAUNHOFER GESELLSCHAFT,DE
Ranjana Mukhia,CDAC,IN
Ranjeeth Dasineni,FACEBOOK,US
Rao Naveed Bin Rais,AJMAN UNIVERSITY,AE
Raoul Mbangue Moukete,MINPOSTEL,CM
Raphael Coeffic,TEKELEC,DE
Raphael Hiesgen,HAW HAMBURG,DE
Raphael Kouame Koffi,ECOWAS,NG
Raphael Robert,WIRE,CH
Raphael Rosa,UNIVERSITY OF CAMPINAS,BR
Raphail Ouazana,LINAGORA,FR
Raquel Futch,SOLO,GA
Raquel Morera,VERIZON,US
Rashid Hashimi,SOVIET TECHNICAL SERVICES,UG
Rashida Umar,NGNOG,NG
Rashmi Ballamajalu,INDIAN INSTITUTE OF TECHNOLOGY,IN
Rashmi Gupta,AMITY UNIVERSITY,IN
Rashmi Purushothama,ERICSSON AB,SE
Rasik Aboobacker,VEL TECH MULTI TECH ENGINEERING COLLEGE,IN
Rathin Mapa,MALLABHUM INSTITUTE OF TECHNOLOGY,IN
Rathna Ramesh,JUNIPER NETWORKS,US
Ratu Waqanitoga,TELECOM FIJI LTD,FJ
Raul Arco,NOKIA,ES
Raunak Banthia,CISCO SYSTEMS INC,US
Raveendra Torvi,JUNIPER NETWORKS,US
Ravi Ganesan,SAFEMASHUPS INC.,US
Ravi Ravindran,HUAWEI TECHNOLOGIES,US
Ravi Singh,JUNIPER NETWORKS,US
Ravikumar Chandrasekaran,CISCO SYSTEMS INC,IN
Ravinder Badwal,SHAW COMMUNICATIONS,CA
Ravinder Pal Singh Bimbrah,WI-MAX.NET.IN,IN
Ravish Dhingra,AMITY UNIVERSITY,IN
Ravishankar Ravindran,HUAWEI TECHNOLOGIES,US
Ray Bell,GRID NET,US
Ray Pelletier,TIP,US
Ray Perlner,U.S. DEPARTMENT OF COMMERCE,US
Ray Polk,ORACLE,US
Ray Qiu,JUNIPER NETWORKS,US
Raydel Ortigueira,UNIVERSITY OF CHILE,CL
Raymond Ho,NTT,SG
Raymond Linus Mtefu,TZNIC,TZ
Raymond Panko,UNIVERSITY OF HAWAII,US
Raymond Pelletier,IETF - INTERNET ENGINEERING TASK FORCE,US
Raymond Pua,NA,PH
Raymond Savarda,EXAR,US
Raymond Yeung,CHINESE UNIVERSITY OF HONGKONG,HK
Raymond Zhang,ALCATEL-LUCENT S.A,SG
Razak Gbadamassi,ANPE,TG
Razaq Dahood,FJ MELKLAND LTD,EG
Reagan Ngerangera,SAKAHA,TZ
Rebecca Han,HUAWEI TECHNOLOGIES,CN
Rebecca Nitzan,JUNIPER NETWORKS,US
Rebecca Rose,UK GOVERNMENT,GB
Reda Haddad,ERICSSON AB,US
Redeemer Korda,KNUST,GH
Reema Anand,KPMG,US
Refael Ram,ORCKIT-CORRIGENT,IL
Reginald Bourne,GOVERNMENT OF BARBADOS,BB
Rehmat Ullah,HONGIK UNIVERSITY,KR
Reid Kells,VERILAN,US
Reiji Aibara,HIROSHIMA UNIVERSITY,JP
Reinaldo Penno,CISCO SYSTEMS INC,US
Reji Thomas,JUNIPER NETWORKS,IN
Rekha Rawat,CISCO SYSTEMS INC,US
Remco Van Mook,RIPE NCC,NL
Remi Akintonde,UNUM UK,GB
Remi Denis-Courmont,NOKIA,FI
Remi Nguyen Van,GOOGLE,JP
Remi Theillaud,MARBEN PRODUCTS,FR
Remous-Aris Koutsiamanis,IMT ATLANTIQUE,FR
Remy Liu,HUAWEI TECHNOLOGIES,CN
Renan Krishna,INTERDIGITAL COMMUNICATIONS,GB
Renaud Sallantin,THALES,FR
Rene Struik,UBIQUISEC LTD.,CA
Renee Cohen,ECAPTIONS.COM,US
Renu Tewari,IBM,US
Renwei Li,HUAWEI TECHNOLOGIES,US
Renzo Mare,UNR - FCEIA - EIE,AR
Renzo Navas,IMT ATLANTIQUE,FR
Reo Fujimaki,TUAT,JP
Reshad Rahman,CISCO SYSTEMS INC,CA
Reto Kromer,AV PRESERVATION BY RETO.CH,CH
Rex Fernando,JUNIPER NETWORKS,US
Rex Hughes,CAMBRIDGE UNIVERSITY,GB
Reymer Antonio Vargas Solano,NIC COSTA RICA,CR
Reynante De Jesus,"DOTPH DOMAINS, INC.",PH
Reza Farahbakhsh,TELECOM SUD-PARIS,FR
Reza Fardid,COVAD COMMUNICATIONS,US
Reza Rokui,NOKIA,CA
Rhys Coates,PMC TELECOM,GB
Rhys Smith,JISC,GB
Riaan Vos,INTERNET SOLUTIONS,ZA
Rian Liebenberg,GOOGLE,GB
Riana Vries,KHARAS RADIO,NA
Ricahrd Barnes,BBN CORPORATION,US
Ricardo Andreasen,UNIVERSIDAD DE BUENOS AIRES,AR
Ricardo Oliveira,"UCLA - UNIVERSITY OF CALIFORNIA, LOS ANGELES",US
Ricardo Patara,REGISTRO.BR,BR
Ricardo Pelaez Negro,UNIVERSIDAD DE IBAGUE,CO
Ricardo Pires,DNS.PT,PT
Ricardo Signes,FASTMAIL,US
Ricardo Silva,UNIVERSITY OF COIMBRA,PT
Ricardo Souza,ERICSSON AB,BR
Ricardo Theil,ITS,BR
Riccardo Bernardini,UNIVERSITY OF UDINE,IT
Riccardo Martinotti,ERICSSON AB,IT
Rich Salz,AKAMAI TECHNOLOGIES,US
Richa Chauhan,DELHI INSTITUTE OF ADVANCED STUDIES,IN
Richard Adjei,ROGAI MICROFINANCE CO.LTD,GH
Richard Alfvin,LINESPEED,US
Richard Alimi,GOOGLE,US
Richard Barnes,CISCO SYSTEMS INC,US
Richard Bennett,IPI,US
Richard Bradbury,BRITISH BROADCASTING CORPORATION,GB
Richard Brunner,ERICSSON AB,CA
Richard Douville,ALCATEL-LUCENT S.A,FR
Richard Duncan,COMMAND INFORMATION,US
Richard Ejzak,ALCATEL-LUCENT S.A,US
Richard Fairhurst,WELLS FARGO,GB
Richard Farley,QUALCOMM INC,US
Richard Foote,NOKIA,CA
Richard Gold,CISCO SYSTEMS INC,GB
Richard Graveman,RFG SECURITY,US
Richard Guy Briggs,CREDIL,CA
Richard Hansen,BBN CORPORATION,US
Richard Hendricks,JUNIPER NETWORKS,US
Richard Isioma Ugbah,STV TECHNOLOGY LIMITED,NG
Richard Johnson,CISCO SYSTEMS INC,US
Richard Kelsey,SILICON LABORATORIES,US
Richard Lamb,ICANN,US
Richard Lee,FIDELITY INVESTMENTS,US
Richard Li,HUAWEI TECHNOLOGIES,US
Richard Merdinger,GODADDY,US
Richard Nelson,UNIVERSITY OF WAIKATO,NZ
Richard Owusu,WESTERN STAR VENTURES,GH
Richard Patterson,SKY UK,GB
Richard Payne,OTOLO NETWORKS,GB
Richard Pruss,CISCO SYSTEMS INC,AU
Richard Pugh Iii,VERILAN,US
Richard Rowley,DIGICERT,US
Richard Rushing,MOTOROLA MOBILITY,US
Richard Scheffenegger,NETWORK APPLIANCE,AT
Richard Shockey,SIP FORUM,US
Richard Simard,GROUPE SOLUTIONS TI,CA
Richard Stonehouse,IETF - INTERNET ENGINEERING TASK FORCE,GB
Richard Struse,U.S. DEPARTMENT OF HOMELAND SECURITY,US
Richard Taylor,EADS,GB
Richard Thanki,JANGALA,GB
Richard Tywoniak,CISCO SYSTEMS INC,US
Richard Vallee,CISCO SYSTEMS INC,CA
Richard Vetter,COMCAST,US
Richard Wade,CISCO SYSTEMS INC,SG
Richard Welty,NETWORK TIME FOUNDATION,US
Richard Wheeldon,CISCO SYSTEMS INC,GB
Richard Wilhelm,"VERISIGN INTERNATIONAL HOLDINGS, INC.",US
Richard Woundy,COMCAST,US
Richard Yang,YALE UNIVERSITY,US
Richmond Nonah,MINISTRY OF TRADE,GH
Rick Alfvin,LINESPEED,US
Rick Hofstede,UNIVERSITY OF TWENTE,NL
Rick Sherman,PUPPET,US
Rickard Bellgrim,.SE,SE
Rickard Bondesson,.SE,SE
Rifaat Shekh-Yusef,AVAYA,CA
Rifqy Hakimi,"BANDUNG INSTITUTE OF TECHNOLOGY, INDONESIA",ID
Riggs Goodman,CISCO SYSTEMS INC,US
Rikard Higlund,RISE,SE
Rikard Hoglund,RISE,SE
Rim Haw,KYUNG HEE UNIVERSITY,KR
Rishabh Awasthi,AMITY UNIVERSITY,IN
Rishabh Jain,DELHI INSTITUTE OF ADVANCED STUDIES,IN
Rishabh Parekh,CISCO SYSTEMS INC,US
Rita Esinu Teikuor Okronipa,VODAFONE GROUP PLC,GH
Rita Houkayem,GOVERNMENT OF CANADA,CA
Rita Menta,WALLY DIX CONSULT INTERNATIONAL LTD,NG
Ritika Gupta,DELHI INSTITUTE OF ADVANCED STUDIES,IN
Ritika Virmani,MICROSOFT,US
Rixin Bu,BII GROUP HOLDINGS,CN
Rizk Alhindawi,YOUNIS TRADE,EG
Rnaowicq Lshexhwx,ACUNETIX,AD
Roar Hagen,GIPS,SE
Rob Austein,ARRCUS,US
Rob Goode,NCI AGENCY,NL
Rob Hamilton,CHEMICAL ABSTRACTS SERVICE,US
Rob Lanphier,LINDEN LAB RESEARCH,US
Rob Murray,NOKIA,GB
Rob Pickering,IPCORTEX,GB
Rob Rice,BROADCOM CORP,US
Rob Shakir,GOOGLE,US
Rob Sherwood,BIG SWITCH NETWORKS,US
Rob Stradling,COMODO INC.,GB
Rob Trace,MICROSOFT,US
Rob Van Eijk,LEIDEN UNIVERSITY,NL
Robby Simpson,GENERAL ELECTRIC,US
Robel Regassa,UNIVERSITY OF MARYLAND,US
Roberg Broberg,CISCO SYSTEMS INC,US
Robert Adams,CENTER FOR DEMOCRACY AND TECHNOLOGY,US
Robert Adamson,UNITED STATES NAVY,US
Robert Annessi,TU WIEN,AT
Robert Arthur,TECHNIQUES TECHNOLOGY,GH
Robert Assimiti,NIVIS,US
Robert Baird,DIGITAL DIGITIZATION,US
Robert Benz,DEUTSCHE TELEKOM AG,DE
Robert Blackburn,ATHENS TECHNICAL COLLEGE,US
Robert Braden,UNIVERSITY OF SOUTHERN CALIFORNIA,US
Robert Broberg,CISCO SYSTEMS INC,US
Robert Bruce,U S BANK,US
Robert Butler,SPRINT CORPORATION,US
Robert Butts,COMCAST,US
Robert Chodorek,AGH,PL
Robert Cole,U.S. ARMY,US
Robert Cragie,ARM LIMITED,GB
Robert Dolin,ECHELON CORPORATION,US
Robert Edge,BOB EDGE TV CONSULTING,US
Robert Edmonds,FASTLY,US
Robert Evans,JISC,GB
Robert Halley,NOMINUM INC,US
Robert Hansen,CISCO SYSTEMS INC,GB
Robert Hanzl,CISCO SYSTEMS INC,CZ
Robert Haylock,GOOGLE,US
Robert Heile,WI-SUN ALLIANCE,US
Robert Henry,TECHNICA CORPORATION,US
Robert Hinden,CHECK POINT SOFTWARE,US
Robert Kebler,JUNIPER NETWORKS,US
Robert Kisteleki,RIPE NCC,NL
Robert Labelle,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,US
Robert Lychev,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,US
Robert Mcdonald,INDIANA UNIVERSITY,US
Robert Miles,FIRST LOOK MEDIA,US
Robert Milne,ANTELOPE CONSULTING,GB
Robert Morgan,UNIVERSITY OF WASHINGTON,US
Robert Moskowitz,HTT CONSULTING,US
Robert Moyer,XCEL ENERGY,US
Robert Mugabe,PF-ZANO,ZW
Robert Nagy,DEEPDIVE NETWORKING,US
Robert Penfield,ACME PACKET,US
Robert Pepper,FACEBOOK,US
Robert Petracic,CROATIAN TELECOM,HR
Robert Ping,INDIANA UNIVERSITY,US
Robert Raszuk,BLOOMBERG,US
Robert Rennison,ECI TELECOM,US
Robert Reynolds,SACHS CONSULTING,US
Robert Schafer,VERIZON,US
Robert Sindelar,BLUE CROSS,US
Robert Stepanek,FASTMAIL,AT
Robert Story,UNIVERSITY OF SOUTHERN CALIFORNIA,US
Robert Szabo,ERICSSON AB,HU
Robert Taylor,ARM LIMITED,GB
Robert Thurlow,ORACLE,US
Robert Torres,"HUGHES NETWORK SYSTEMS, LLC",US
Robert Varga,CISCO SYSTEMS INC,SK
Robert Watson,UNIVERSITY OF CAMBRIDGE,GB
Robert Wiewel,TECHNICAL UNIV. OF DRESDEN,DE
Robert Wilton,CISCO SYSTEMS INC,GB
Roberta Maglione,CISCO SYSTEMS INC,IT
Roberta Presta,UNIVERSITY OF NAPLES FEDERICO II,IT
Roberto Gaetano,PUBLIC INTEREST REGISTRY,AT
Roberto Guimaraes,FASTLY,US
Roberto Morabito,ERICSSON AB,US
Roberto Oya Luengo,NUAGE NETWORKS,US
Roberto Pacheco,RGP,AR
Roberto Peon,FACEBOOK,US
Roberto Polli,ITALIAN DIGITAL TRANSFORMATION TEAM,IT
Roberto Riggio,FONDAZIONE BRUNO KESSLER,IT
Roberto Zamparo,TELIA AB,SE
Robertson Takyi,VOA VENTURES,GH
Robin Alden,COMODO INC.,GB
Robin Heydon,QUALCOMM INC,GB
Robin Littlefield,RAMMA PRODUCTIONS,US
Robin Marx,HASSELT UNIVERSITY - EDM,BE
Robin Raymond,HOOKFLASH,CA
Robin Seggelmann,UNIVERSITY OF MUENSTER,DE
Robin Uyeshiro,"INSTITUTE FOR ASTRONOMY, UNIV. OF HAWAII",US
Robinson Rivas,UNIVERSIDAD CENTRAL DE VENEZUELA,VE
Rod Beckstrom,ICANN,US
Roderick Ragland,"HUGHES NETWORK SYSTEMS, LLC",US
Rodney Grimes,NETDEF,US
Rodney Van Meter,KEIO UNIVERSITY,JP
Rodney Weaver,WOLFSSL INC.,US
Rodny Molina,LINKEDIN,US
Rodolfo De Paz Alberola,UNITED TECHNOLOGIES,IE
Rodolfo Enrique Alvizu Gomez,POLITECNICO DI MILANO,IT
Rodrigo Abulafia,PAYU,AR
Rodrigo Dalenogari,AUSTRALIAN GOVERNMENT,AU
Rodrigo Dos Santos,BRAZILIAN NETWORK INFORMATION CENTER - NIC.BR,BR
Rodrigo Garcia,LAOTRARED,BO
Rodrigo Munoz,UNIVERSIDAD DE CHILE,CL
Rodrigo Philander,TELLME NETWORKS INC,US
Rodrigo Valle Da Fonseca,MINISTRY OF FOREIGN AFFAIRS - BRAZIL,BR
Roelof Meijer,SIDN,NL
Rogelio Moreno,CLARO CHILE SA,CL
Roger Campion,KWAME NKRUMAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,GH
Roger Carney,GODADDY,US
Roger Lapuh,EXREME NETWORKS,CH
Roger Marks,ETHAIRNET ASSOCIATES,US
Roger Marshall,COMTECH AHA,US
Roger Murray,INTERNET FOUNDATION IN SWEDEN,SE
Roger Pueyo,UNIVERSITAT POLITECNICA DE CATALUNYA,ES
Roger Silvers,SILVERS INCORPORATION,US
Rogerio Mariano De Souza,LACNOG,BR
Rohit Watve,CISCO SYSTEMS INC,US
Roland Dobbins,ARBOR NETWORKS,US
Roland Elverljung,ACREO AB,SE
Roland Hedberg,SUNET,SE
Roland Jesske,DEUTSCHE TELEKOM AG,DE
Roland Roccaro,SYMFACT AG,CH
Roland Schott,DEUTSCHE TELEKOM AG,DE
Roland Van Rijswijk-Deij,NLNET LABS,NL
Roland Zink,FLASH NETWORKS,DE
Rolando Perez Martinez,UNIVERSIDAD DE PINAR DEL RIO,CU
Rolf Blom,ERICSSON AB,SE
Rolf Sommerhalder,CROSSCOM ENGINEERING,CH
Rolf Sonneveld,SONNECTION B.V.,NL
Rolf Winter,NEC CORPORATION,DE
Roman Danyliw,CARNEGIE MELLON UNIVERSITY,US
Roman Krzanowski,VERIZON,US
Roman Mashak,MOJATATU NETWORKS,CA
Roman Shpount,TURBOBRIDGE,US
Romeo Zwart,RIPE NCC,NL
Ron Folkes,JUNIPER NETWORKS,US
Ron Monzillo,ORACLE,US
Ron Moore,MICROSOFT,US
Ron Sidi,CONTEXTREAM,US
Ron Stana,VIAVI SOLUTIONS,US
Ronak Doshi,VMWARE,US
Ronald Alleva,ACCOLADE,US
Ronald Bonica,JUNIPER NETWORKS,US
Ronald Nsubuga,MTN UGANDA,UG
Ronald Parker,AFFIRMED NETWORKS,US
Ronald Rubangakene,BOSCO UGANDA,UG
Ronald Sackman,BOEING,US
Ronald Tse,RIBOSE,HK
Ronan Cremin,AFILIAS,IE
Ronen Solomon,ORCKIT-CORRIGENT,IL
Roney David,HOMEOFMOVIES,UG
Rong Gu,CMCC - CHINA MOBILE COMMUNICATIONS CORPORATION,CN
Rong Pan,CISCO SYSTEMS INC,US
Rong Qing Koh,STARHUB LIMITED,SG
Rong Zhang,CHINA TELECOM GUANGZHOU RESEARCH ISTITUTE,CN
Roni Even,TOGA NETWORKS,IL
Ronny Bjones,MICROSOFT,BE
Ronny Bull,UTICA COLLEGE,US
Roque Gagliano,CISCO SYSTEMS INC,CH
Rory Browne,INTEL CORPORATION,IE
Rory Mcguire,APPLE INC.,US
Rosa Vilardi,POLITECNICO DI BARI,IT
Rosalea Roberts,STANFORD UNIVERSITY,US
Rose Conteh,HI-TECH ENGINEERING COMPANY GAMBIA LIMITED,GM
Rosh Mohan Ravi,DELL EMC,IN
Rosly Farelle Ngadeu Mboula,DENIS MIKI FOUNDATION,CM
Ross Finlayson,"LIVE NETWORKS, INC.",US
Rossio Del Milagros Lachos Perez,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,PE
Rostislav Pehlivanov,MOZILLA FOUNDATION,GB
Rotem Salomonovitch,ALCATEL-LUCENT S.A,US
Roy Arends,ICANN,GB
Roy Fielding,ADOBE SYSTEMS,US
Roy Peterkofsky,SKYTIDE,US
Roya Ensafi,UNIVERSITY OF MICHIGAN,US
Rubeel Khan,JS BANK,PK
Rubel Rana,ASUS,BD
Rudi Daniel,DANIELCHARLES CONSULTANCY,VC
Rudra Saha,CISCO SYSTEMS INC,IN
Rudy Brioche,COMCAST,US
Ruediger Geib,DEUTSCHE TELEKOM AG,DE
Ruediger Kunze,DEUTSCHE TELEKOM AG,DE
Ruediger Martin,EUROPEAN COMMISSION,BE
Ruediger Volk,DEUTSCHE TELEKOM AG,DE
Rui Bian,UNIVERSITY OF DELAWARE,US
Rui Chen,HUAWEI TECHNOLOGIES,CN
Rui Costa,ALCATEL-LUCENT S.A,FR
Rui Hua,HUAWEI TECHNOLOGIES,CN
Rui Paulo,APPLE INC.,US
Rui Ribeiro,FEDERAL UNIVERSITY OF RIO GRANDE DO SUL,BR
Rui Zhang,CISCO SYSTEMS INC,US
Ruibing Hao,COMCAST,US
Ruidong Li,NICT - NATIONAL INSTITUTE FOR INFORMATION AND COMMUNICATIONS TECHNOLOGY,JP
Ruijun Feng,CMCC - CHINA MOBILE COMMUNICATIONS CORPORATION,CN
Ruinan Sun,HUAWEI TECHNOLOGIES,CN
Ruiwu Shen,ZTE,CN
Rukkaya Iddrisu,VOA VENTURES,GH
Runa Barik,UNIVERSITY OF OSLO,NO
Runa Sandvik,CENTER FOR DEMOCRACY AND TECHNOLOGY,US
Runfeng Qin,CHINA TELECOM CORPORATION LIMITED,CN
Runxia Wan,BII GROUP HOLDINGS,CN
Ruo Fei Chen,COSMO SOFTWARE,SG
Ruobin Zheng,HUAWEI TECHNOLOGIES,CN
Ruri Hiromi,INTEC INC.,JP
Russ Housley,VIGIL SECURITY LLC,US
Russel Jones,SKYHOOK,US
Russell Clark,GEORGIA INSTITUTE OF TECHNOLOGY,US
Russell Housley,VIGIL SECURITY LLC,US
Russell Sutherland,UNIVERSITY OF TORONTO,CA
Russell Zhanje,UZ,ZW
Rute Sofia,"COPELABS, UNIVERSITY LUSOFONA",PT
Ryan Carroll,U.S. DEPARTMENT OF COMMERCE,US
Ryan Guest,SALESFORCE,US
Ryan Hamilton,GOOGLE,US
Ryan Hoffman,TELUS COMMUNICATIONS INC,CA
Ryan Hu,SENECA COLLEGE,CA
Ryan Hurst,GOOGLE,US
Ryan Paderna,TOSHIBA,JP
Ryan Sirlin,FUTURE TECH ENTERPRISE,US
Ryan Sleevi,GOOGLE,US
Ryan Stephenson,U.S. DEPARTMENT OF DEFENSE,US
Ryo Kajiwara,LEPIDUM CO. LTD.,JP
Ryo Nakamura,UNIVERSITY OF TOKYO,JP
Ryo Shirasawa,KDDI CORPORATION,JP
Ryoichi Hosoya,INTERNET MULTIFEED CO,JP
Ryosuke Kato,"BROADBANDTOWER, INC.",JP
Ryosuke Ushida,FINANCIAL SERVICES AGENCY,JP
Ryota Ishibashi,NTT,JP
Ryota Watanabe,"ANRITSU NETWORKS CO.,LTD.",JP
Ryu Inada,XEROX CORPORATION,JP
Ryuichi Saeki,"FURTHER SYSTEMS CO.,LTD.",JP
Ryuichi Takashima,JAPAN REGISTRY SERVICES,JP
Ryuichi Yamaguchi,MAEBASHI KYOAI GAKUEN COLLEGE,JP
Ryuji Iida,NETWORK VALUE COMPONENTS LTD.,JP
Ryuji Wakikawa,SOFTBANK MOBILE CORP.,JP
Ryuki Hirakouchi,"NET ONE SYSTEMS CO., LTD.",JP
Ryusei Shiiba,KEIO UNIVERSITY,JP
Ryusuke Masuoka,FUJITSU LIMITED,US
Saad Ahmed,SAAD AHMED,DZ
Saad Qureshi,MONARCH MINERVA INC.,US
Saba Eskandarian,STANFORD UNIVERSITY,US
Sabarinath Pillai,"SJCET, PALAI",IN
Sabel Darboe,GAMCEL,GM
Sabine Randriamasy,NOKIA,FR
Sabrina Tanamal,ICANN,US
Sabry Gabr,MBA,EG
Sabry Ghobrial,ANBAE ALGHAD NEWS PAPER,EG
Saburo Seto,NTT,JP
Sachin Vishwarupe,CISCO SYSTEMS INC,US
Sadaq Taher,UNIVERSITI UTARA MALAYSIA,MY
Sadeeq Yussuf,TECHNIQUES TECHNOLOGY,GH
Safa Almalki,NOKIA,CA
Safdar Bouk,KYUNGPOOK NATIONAL UNIVERSITY,KR
Saffie Sonko,MINISTRY OF FINANCE AND ECONOMIC AFFAIRS,AD
Safuat Hamdy,SECORVO SECURITY CONSULTING,DE
Sagar Rastogi,AMITY UNIVERSITY,IN
Saha Bernard,LARIT,CI
Sahana Prasad,THE LIBRESWAN PROJECT,DE
Saidou Conteh,GAMBIA IMMIGRATION DEPARTMENT,GM
Saif Khan,RIPHAH INTERNATIONAL UNIVERSITY,PK
Saif Kinyori,TRACECORE AFRICA LIMITED,KE
Saikat Ray,GOOGLE,US
Saikou Jammeh,FUSKATECH,GM
Saiprasad Muchala,CISCO SYSTEMS INC,IN
Sajad Bakhtyari,IRANHOST,IR
Saleem Bhatti,UNIVERSITY OF ST ANDREWS,GB
Sally Ceesay,KOMBO PULTRY,GM
Sally Ceesay,THE TELECOMMUNICATIONS COMPANY LTD,GM
Sally Costerton,ICANN,US
Sally Floyd,ICSI CENTER FOR INTERNET RESEARCH,US
Saloum Janko,KICK OFF SPORTS,GM
Salum Mchunga,SAKAHA CO LTD,TZ
Salvador Camacho,KALPA PROTECCION.DIGITAL,MX
Salvatore Francomacaro,U.S. DEPARTMENT OF COMMERCE,US
Salvatore Loreto,ERICSSON AB,SE
Sam Aldrin,GOOGLE,US
Sam Crawford,SAMKNOWS,GB
Sam Falkner,"SUN MICROSYSTEMS, INC.",US
Sam Farthing,CISCO SYSTEMS INC,US
Sam Hartman,PAINLESS SECURITY,US
Sam Johnston,GOOGLE,CH
Sam Ng,GODADDY,US
Sam Samules,M.R IMPEAX,IN
Sam Silberman,"CONSTANT CONTACT, INC.",US
Samaila Leeman,PYTECH SOLUTIONS INC.,NG
Saman Rajaei,UNIVERSITY COLLEGE LONDON,GB
Samaneh Tajalizadehkhoob,ICANN,NL
Samantha Clark,NO HATS,CA
Samar Shailendra,TATA CONSULTANCY,IN
Samaresh Nair,PALO ALTO NETWORKS,US
Samba Barrie,"STATE HOUSE, REPUBLIC OF SIERRA LEONE",SL
Sameer Patel,COMCAST,US
Sameh Gabr,MBA,EG
Samer Darras,MICROSEMI,US
Samer Salam,CISCO SYSTEMS INC,CA
Sami Boutros,VMWARE,US
Sami Salih,SUDAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,SD
Samia Mtimet,AFNIC,FR
Samier Barguil,TELEFONICA S.A.,ES
Samih Souissi,ARCEP,FR
Samir Ghamri-Doudane,ALCATEL-LUCENT S.A,FR
Samir Hussain,XELERANCE,CA
Samita Chakrabarti,VERIZON,US
Samo Grasic,LULEA UNIVERSITY OF TECHNOLOGY,SE
Sampo Kellomaeki,ZXIDP.ORG,PT
Sampson Offei Omane,GHANA BROADCASTING CORPORATION,GH
Samson Adeoye,A.O.J GLORIOUS CONCEPT LTD,NG
Samson Ilesanmi,UNIVERSITY OF LAGOS,NG
Samudra Mehta,LIQUID TELECOM,GB
Samuel Adusei,WESTERN STAR VENTURES,GH
Samuel Ashmore,U.S. DEPARTMENT OF DEFENSE,US
Samuel Barfield Iii,SAMUEL SAMUEL BUSINESS OF INFORMATION,US
Samuel Chinonso Kanu,"HOUSE OF COMMITTE ON AVIATION, HOUSE OF REPRESENTATIVE",NG
Samuel Delaughter,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,US
Samuel Nii Lante Lamptey,KWADART ENTERPRISE,GH
Samuel Nwokocha,MTN GHANA,GH
Samuel Oluropo Ojo,ROPZIDE IT TRAINING CENTER,SA
Samuel Owusu Onyina,HUAWEI TECHNOLOGIES,GH
Samwel Kwamanga,SANOFI,KE
Samyr Siqueira,UFAL-UNIVERSIDADE FEDERAL DE ALAGOAS,BR
Sana Aqel,APPLIED SCIEBCE UNIVERSITY,MA
Sandeep Ahluwalia,"HUGHES NETWORK SYSTEMS, LLC",MD
Sandeep Akhouri,ERICSSON AB,IN
Sandeep Baviskar,ORANGE SA,IN
Sandeep Bishnoi,ALCATEL-LUCENT S.A,US
Sandeep Parve,CDAC,IN
Sandeep Rao,CISCO SYSTEMS INC,IN
Sandeep Sharma,ELANTI SYSTEMS,US
Sandeep Yadav,AMITY UNIVERSITY,IN
Sander Steffann,RETEVIA,NL
